#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   F070W  F090W  F115W  F150W  F200W  F277W  F356W  F444W  F150W2 F322W2 F140M  F162M  F182M  F210M  F250M  F300M  F335M  F360M  F410M  F430M  F460M  F480M    Mact
 1   7.53  0.03  0.10599 -2.092 3.487  4.449 10.30  0.040 0.00 20.301 20.921 19.351 18.550 18.069 17.761 17.672 17.204 17.091 18.099 17.438 18.258 17.784 17.845 17.660 17.707 17.632 17.317 17.131 17.029 17.062 17.165 17.144  0.106 
 1   8.45  0.21  0.09208 -2.796 3.454  4.961  7.80  0.037 0.00 19.561 20.545 18.657 17.731 17.290 16.973 16.894 16.309 16.196 17.296 16.594 17.531 16.944 17.083 16.840 16.928 16.840 16.445 16.221 16.118 16.170 16.289 16.262  0.092 
 1   8.57  0.21  0.08866 -2.891 3.445  5.001  6.90  0.033 0.00 18.896 20.008 18.013 17.045 16.618 16.298 16.227 15.601 15.490 16.615 15.903 16.879 16.249 16.417 16.154 16.261 16.167 15.745 15.508 15.406 15.465 15.590 15.560  0.089 
 1   8.59  0.31  0.03613 -4.253 3.178  4.907  9.70  0.040 0.00 25.102 31.825 28.525 26.036 23.827 22.142 21.222 20.191 19.992 23.193 20.643 24.462 23.163 22.621 21.790 21.435 20.978 20.380 20.085 19.932 20.009 20.060 19.992  0.036 
 1   8.63 -0.05  0.74720 -0.739 3.669  4.672  9.40  0.040 0.00 16.017 15.607 15.138 14.715 14.129 13.886 13.867 13.833 13.875 14.244 13.852 14.271 13.945 13.893 13.875 13.905 13.848 13.836 13.829 13.824 13.853 13.941 13.921  0.747 
 1   8.67  0.23  0.01723 -4.439 3.092  4.330  4.90  0.020 0.80 20.358 31.317 26.994 23.690 20.723 18.213 16.527 15.214 14.794 19.349 15.744 21.524 19.955 18.910 17.779 16.926 16.144 15.541 15.083 14.780 14.939 14.769 14.710  0.014 
 1   8.69  0.19  0.25418 -2.061 3.542  5.019  8.30  0.038 0.00 18.224 18.387 17.234 16.590 16.048 15.733 15.691 15.368 15.287 16.108 15.535 16.194 15.828 15.784 15.669 15.731 15.666 15.446 15.315 15.231 15.255 15.348 15.336  0.254 
 1   8.75  0.03  1.30192  0.450 3.814  4.306 12.10  0.040 0.87 15.321 14.902 14.683 14.486 14.204 14.123 14.104 14.102 14.107 14.284 14.104 14.257 14.136 14.128 14.117 14.110 14.104 14.103 14.102 14.100 14.103 14.113 14.112  1.302 
 1   8.77  0.03  0.03275 -4.697 3.079  4.913  8.00  0.038 0.00 24.513 35.555 31.104 27.735 24.731 22.237 20.713 19.367 18.972 23.383 19.906 25.548 23.956 22.943 21.794 21.096 20.309 19.770 19.216 18.915 19.133 18.989 18.959  0.033 
 1   8.79  0.01  0.01804 -4.904 3.002  4.552  6.90  0.033 0.00 23.931 38.720 33.193 28.991 25.283 22.234 20.293 18.895 18.130 23.444 19.435 26.335 24.396 23.116 21.724 20.903 19.777 19.627 18.771 18.129 18.324 18.123 17.992  0.018 
 1   8.79  0.11  0.17011 -2.388 3.512  5.050  6.60  0.031 0.00 17.340 17.728 16.360 15.638 15.131 14.830 14.758 14.357 14.253 15.178 14.561 15.295 14.880 14.897 14.747 14.793 14.727 14.456 14.292 14.195 14.223 14.320 14.303  0.170 
