#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   F560W  F770W  F1000W F1130W F1280W F1500W F1800W F2100W F2550W   Mact
 1   7.81  0.13  0.01759 -3.870 3.219  4.374  8.50  0.039 0.00 22.944 18.034 17.863 17.744 17.612 17.576 17.506 17.459 17.387 16.802  0.018 
 1   8.23 -0.13  0.25789 -2.005 3.560  5.041  6.80  0.032 0.00 16.581 13.758 13.756 13.682 13.683 13.657 13.639 13.598 13.574 13.233  0.258 
 1   8.31  0.13  0.09288 -2.739 3.461  4.936  5.60  0.025 0.00 17.218 13.923 13.897 13.707 13.697 13.666 13.652 13.556 13.581 13.053  0.093 
 1   8.39  0.15  0.30789 -1.897 3.555  4.989  8.60  0.039 0.00 18.111 15.252 15.252 15.174 15.179 15.151 15.140 15.086 15.056 14.536  0.308 
 1   8.59 -0.01  0.88647 -0.397 3.715  4.589  8.30  0.038 0.00 14.063 12.258 12.220 12.217 12.215 12.216 12.215 12.211 12.209 12.209  0.886 
 1   8.61  0.31  0.48390 -1.443 3.586  4.856  9.40  0.040 0.80 17.286 14.562 14.561 14.494 14.486 14.467 14.450 14.415 14.391 14.160  0.484 
 1   8.67 -0.27  0.05191 -3.937 3.268  5.109  6.90  0.033 0.00 21.512 16.988 16.820 16.595 16.506 16.508 16.425 16.349 16.338 15.795  0.052 
 1   8.71  0.35  0.02441 -4.963 3.004  4.750  5.50  0.024 0.87 22.077 16.062 16.031 15.952 15.625 15.381 15.310 15.334 15.177 14.641  0.024 
 1   8.79 -0.15  0.26635 -1.975 3.563  5.037  8.70  0.039 0.00 18.407 15.602 15.601 15.527 15.526 15.501 15.482 15.444 15.420 15.123  0.266 
 1   8.81  0.05  0.41285 -1.602 3.577  4.911  8.90  0.039 0.00 17.674 14.949 14.951 14.879 14.869 14.850 14.832 14.795 14.770 14.541  0.413 
 1   8.81  0.17  0.94456 -0.295 3.722  4.541  8.80  0.039 0.00 14.308 12.552 12.512 12.509 12.507 12.509 12.508 12.505 12.503 12.504  0.945 
 1   8.83 -0.01  0.48586 -1.420 3.594  4.866 12.10  0.040 0.00 20.421 17.814 17.816 17.756 17.742 17.729 17.711 17.684 17.667 17.597  0.486 
 1   8.83  0.11  0.02044 -5.128 2.958  4.656  7.10  0.034 0.00 24.689 18.591 18.585 18.489 18.134 17.855 17.771 17.815 17.721 17.422  0.020 
 1   8.87 -0.05  0.22103 -2.149 3.548  5.068 12.00  0.040 0.00 22.142 19.241 19.238 19.156 19.165 19.134 19.122 19.068 19.041 18.511  0.221 
 1   8.87  0.01  0.17689 -2.363 3.521  5.079  8.90  0.039 0.00 19.577 16.555 16.551 16.437 16.439 16.409 16.395 16.327 16.310 15.742  0.177 
 1   8.87  0.03  0.18578 -2.316 3.527  5.078  8.60  0.039 0.00 19.161 16.168 16.166 16.059 16.062 16.032 16.018 15.952 15.932 15.361  0.186 
 1   8.89  0.09  0.09412 -3.056 3.440  5.173  8.30  0.038 0.88 20.195 16.772 16.719 16.465 16.444 16.417 16.387 16.276 16.340 15.847  0.094 
