# RA DEC F1500W_MAG_KRON F1500W_MAG_CIRC3 F1500W_MAG_CIRC4 F1500W_MAG_CIRC5 F2100W_MAG_KRON F2100W_MAG_CIRC3 F2100W_MAG_CIRC4 F2100W_MAG_CIRC5
53.11644 -27.87666 12.70090 15.05276 14.96734 14.84206 12.37584 14.34771 14.30952 14.21503
53.12533 -27.86135 15.27863 16.18004 16.13924 16.07784 15.51389 15.74861 15.82964 15.90444
53.07448 -27.84985 10.18878 12.34330 12.27433 12.16954 9.62558 11.51216 11.48956 11.43110
53.16177 -27.83236 10.88452 11.87081 11.81466 11.72310 10.64468 11.41394 11.39872 11.34819
53.13114 -27.82930 11.31425 13.57791 13.48142 13.34407 10.91230 12.84618 12.80458 12.71905
53.13613 -27.82911 14.92844 15.88401 15.85204 15.78953 14.58962 15.39258 15.33060 15.24256
53.10729 -27.82682 13.97684 15.56565 15.53329 15.46698 13.08568 14.54176 14.54580 14.52362
53.12079 -27.81905 11.77681 14.46316 14.39304 14.27622 11.99300 14.11365 14.08892 14.01083
53.14386 -27.81354 11.48396 14.92217 14.82872 14.68859 11.17137 14.16921 14.10943 14.01323
53.16318 -27.81247 12.71681 15.21318 15.15903 15.06072 12.38742 14.51361 14.48962 14.42251
53.14898 -27.79976 14.61230 15.50470 15.46366 15.39465 13.36717 14.13227 14.10949 14.06692
53.15547 -27.79157 14.47151 15.26293 15.23840 15.17399 13.52339 14.07636 14.05277 13.99618
53.18697 -27.79106 10.59884 12.50437 12.39510 12.24596 10.24870 11.71246 11.66650 11.58457
53.13355 -27.77588 14.29700 14.31810 14.33130 14.32148 14.60625 14.34859 14.39356 14.41491
53.20269 -27.77401 15.62661 16.83728 16.79766 16.71704 15.72711 16.43094 16.41801 16.37441
53.16995 -27.77113 12.73741 15.27859 15.20368 15.07816 11.62876 13.78071 13.73703 13.64946
53.15499 -27.76898 15.05587 15.92852 15.90557 15.83778 15.65454 15.38701 15.42841 15.40100
53.13678 -27.76888 11.34741 13.16091 13.10442 13.01128 10.76390 12.12464 12.11540 12.07494
53.20960 -27.76853 14.70831 15.45097 15.43326 15.38730 13.96397 14.61829 14.69368 14.71632
53.16288 -27.76723 12.55592 12.65501 12.65808 12.63559 11.44470 11.52492 11.53416 11.51766
53.19015 -27.76529 13.59797 15.38304 15.28972 15.15709 13.34089 14.78954 14.70869 14.59972
53.18372 -27.76159 14.40038 15.44516 15.40975 15.34457 13.72705 14.64263 14.64195 14.62148
53.18005 -27.74925 13.25302 15.44888 15.32264 15.15742 11.94798 13.76565 13.71118 13.61354
53.12711 -27.88677 13.27333 13.92841 13.88517 13.80778 13.35678 13.78089 13.77099 13.72170
53.12560 -27.88650 15.94618 16.08989 16.08226 16.04069 13.97663 14.02780 14.02299 13.99289
53.12950 -27.88483 18.54235 18.49135 18.64263 18.85941   nan   nan   nan   nan
53.12681 -27.88451 12.58429 13.08080 13.05045 12.98885 11.23958 11.59631 11.59445 11.56354
53.12654 -27.88415 19.38262 19.46466 19.50632 19.21850 16.16085 16.05892 15.96976 15.86631
53.12120 -27.88391   nan   nan   nan   nan 17.31279 17.12822 17.21536 17.19403
53.12201 -27.88359   nan 20.29930 19.80027 19.45952 17.35886 17.79965 19.38950   nan
53.12433 -27.88270 14.79660 14.88544 14.88916 14.86574 12.89010 13.00409 13.01284 12.99161
53.12752 -27.88172 13.08549 13.73462 13.68896 13.61121 13.02696 13.47622 13.47010 13.43590
53.12417 -27.88150 17.96950 18.09543 18.07131 18.05428 16.90291 18.63700 17.33947 16.98765
53.12473 -27.88127 17.43051 17.91180 17.80178 17.69639 16.62505 18.42073 17.97557 17.45767
53.13091 -27.88112 16.71175 16.74285 16.77315 16.75178 14.20517 14.35444 14.35172 14.30550
