#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   F560W  F770W  F1000W F1130W F1280W F1500W F1800W F2100W F2550W   Mact
 1   6.61  0.27  0.02422 -2.692 3.399  4.054  9.10  0.040 0.00 20.600 16.965 16.910 16.679 16.630 16.624 16.599 16.491 16.510 15.967  0.024 
 1   7.47  0.19  0.58896 -1.191 3.611  4.790  7.60  0.037 0.00 15.347 12.838 12.823 12.782 12.769 12.762 12.749 12.731 12.720 12.712  0.589 
 1   7.69  0.39  0.44164 -1.548 3.577  4.887  5.50  0.024 0.00 14.139 11.395 11.396 11.327 11.318 11.298 11.280 11.245 11.220 10.991  0.442 
 1   8.09 -0.05  0.44164 -1.522 3.587  4.899  8.40  0.039 0.00 16.974 14.320 14.323 14.257 14.245 14.229 14.210 14.180 14.159 14.035  0.442 
 1   8.41 -0.11  0.08535 -2.845 3.457  4.990  7.20  0.035 0.00 19.083 15.773 15.743 15.550 15.541 15.502 15.479 15.400 15.420 14.997  0.085 
 1   8.51  0.03  1.30965  0.446 3.815  4.317  8.50  0.039 0.80 11.851 10.648 10.638 10.636 10.635 10.637 10.636 10.633 10.631 10.632  1.310 
 1   8.57 -0.07  0.03091 -4.403 3.138  4.830  7.60  0.037 0.00 23.377 17.956 17.799 17.870 17.661 17.483 17.458 17.492 17.416 17.051  0.031 
 1   8.57 -0.01  0.04029 -4.064 3.223  4.947  8.20  0.038 0.87 22.594 17.556 17.395 17.345 17.183 17.094 17.046 17.038 16.956 16.378  0.040 
 1   8.63  0.03  0.37763 -1.695 3.572  4.945  8.10  0.038 0.00 17.109 14.355 14.358 14.283 14.277 14.256 14.238 14.198 14.171 13.882  0.378 
 1   8.69 -0.29  0.05441 -3.908 3.278  5.141  6.90  0.033 0.00 21.439 17.006 16.839 16.603 16.519 16.524 16.440 16.359 16.354 15.816  0.054 
 1   8.79 -0.07  3.27982 -1.982 4.247  8.227  8.60  0.039 0.00 18.325 20.574 20.589 20.599 20.604 20.611 20.617 20.622 20.626 20.633  0.749 
 1   8.79  0.29  0.08535 -3.106 3.423  5.113  9.50  0.040 0.00 22.036 18.598 18.545 18.288 18.267 18.240 18.211 18.092 18.160 17.671  0.085 
 1   8.97 -0.07  0.14619 -2.587 3.499  5.130  9.50  0.040 0.00 20.738 17.608 17.594 17.455 17.455 17.421 17.403 17.335 17.333 16.851  0.146 
 1   8.97  0.11  0.15499 -2.542 3.498  5.108  7.00  0.034 0.00 18.125 14.994 14.982 14.840 14.838 14.807 14.794 14.716 14.715 14.164  0.155 
 1   9.05 -0.13  0.16015 -2.488 3.513  5.130 10.00  0.040 0.00 20.991 17.928 17.917 17.798 17.801 17.767 17.746 17.691 17.680 17.252  0.160 
 1   9.05  0.03  0.46864 -1.464 3.589  4.874  8.30  0.039 0.00 16.731 14.085 14.087 14.023 14.010 13.995 13.977 13.947 13.927 13.808  0.469 
 1   9.07 -0.09  0.18249 -2.332 3.531  5.103 10.60  0.040 0.88 20.627 17.611 17.604 17.495 17.499 17.466 17.449 17.391 17.376 16.901  0.182 
 1   9.07 -0.01  2.03347  1.565 3.691  2.891  8.90  0.039 0.77  9.545  7.711  7.655  7.650  7.649  7.651  7.650  7.647  7.645  7.646  2.033 
 1   9.07  0.17  0.05441 -4.395 3.177  5.224  9.00  0.039 0.94 24.110 18.846 18.688 18.724 18.525 18.370 18.346 18.378 18.297 17.828  0.054 
 1   9.09 -0.03  0.01674 -4.434 3.093  4.326  7.20  0.035 0.82 22.626 16.854 16.713 16.831 16.590 16.392 16.343 16.361 16.257 15.836  0.014 
 1   9.13 -0.25  0.05176 -4.507 3.149  5.202  8.80  0.039 0.73 24.423 18.915 18.786 18.812 18.582 18.392 18.358 18.397 18.320 17.978  0.052 
 1   9.13  0.03  0.01215 -4.303 3.115  4.230  8.10  0.038 0.00 23.626 18.046 17.892 18.009 17.799 17.621 17.589 17.602 17.482 16.952  0.012 
 1   9.15 -0.11  0.16056 -2.494 3.512  5.132  8.40  0.039 0.85 18.861 15.757 15.744 15.611 15.613 15.578 15.558 15.497 15.493 15.049  0.161 
 1   9.15  0.07  0.63509 -1.048 3.627  4.744  9.50  0.040 0.00 16.890 14.479 14.451 14.422 14.413 14.409 14.400 14.388 14.380 14.375  0.635 
 1   9.17 -0.01  0.66250 -0.963 3.639  4.724  9.00  0.039 0.00 16.177 13.843 13.808 13.788 13.781 13.778 13.772 13.762 13.755 13.751  0.662 
 1   9.17  0.33  0.03521 -4.933 3.030  4.985  9.60  0.040 0.89 26.100 20.185 20.138 20.060 19.754 19.531 19.471 19.491 19.308 18.684  0.035 
 1   9.19 -0.03  0.02953 -5.111 2.980  4.886  8.10  0.038 0.00 25.648 19.633 19.610 19.500 19.159 18.910 18.838 18.864 18.678 18.088  0.030 
 1   9.19  0.01  0.70964 -0.841 3.651  4.679  9.60  0.040 0.00 16.473 14.217 14.175 14.164 14.158 14.157 14.152 14.145 14.140 14.137  0.710 
 1   9.19  0.09  0.09298 -3.206 3.428  5.269  8.60  0.039 0.00 21.385 17.973 17.922 17.660 17.640 17.611 17.584 17.473 17.546 17.062  0.093 
 1   9.21  0.03  0.09698 -3.129 3.440  5.259 10.20  0.040 0.93 22.186 18.792 18.744 18.489 18.472 18.442 18.416 18.308 18.376 17.888  0.097 
 1   9.21  0.07  0.03523 -4.932 3.030  4.985  6.70  0.032 0.00 23.800 17.933 17.874 17.819 17.530 17.318 17.262 17.281 17.109 16.500  0.035 
 1   9.21  0.25  0.16325 -2.512 3.500  5.111  7.80  0.037 0.00 18.850 15.730 15.718 15.580 15.579 15.547 15.534 15.457 15.455 14.901  0.163 
 1   9.23 -0.13  0.03915 -4.799 3.067  5.044  9.40  0.040 0.00 26.167 20.435 20.339 20.341 20.087 19.877 19.830 19.874 19.819 19.600  0.039 
 1   9.23 -0.09  1.08485  0.112 3.780  4.427  7.50  0.036 0.00 11.990 10.642 10.630 10.627 10.626 10.628 10.626 10.623 10.621 10.621  1.085 
 1   9.23 -0.05  0.56424 -1.207 3.614  4.800  4.50  0.017 0.81 11.828  9.288  9.282  9.232  9.220  9.210  9.195  9.173  9.159  9.114  0.564 
 1   9.23 -0.03  0.02987 -5.110 2.981  4.894  7.70  0.037 0.00 25.246 19.233 19.211 19.100 18.759 18.511 18.440 18.466 18.278 17.681  0.030 
 1   9.23  0.05  0.31456 -1.861 3.561  4.986 10.50  0.040 0.00 19.923 17.102 17.103 17.027 17.028 17.003 16.989 16.940 16.911 16.470  0.315 
 1   9.25 -0.11  0.03261 -5.021 3.006  4.942  6.80  0.033 0.98 23.392 17.442 17.404 17.308 16.989 16.762 16.700 16.720 16.525 15.877  0.033 
 1   9.25  0.05  0.08685 -3.347 3.407  5.296 10.00  0.040 0.00 23.137 19.635 19.560 19.275 19.245 19.224 19.181 19.068 19.146 18.664  0.087 
 1   9.25  0.07  0.10101 -3.061 3.448  5.241 12.60  0.040 0.76 24.788 21.320 21.256 21.012 20.984 20.962 20.925 20.824 20.877 20.377  0.101 
 1   9.27  0.11  0.01215 -4.302 3.115  4.230  8.40  0.039 0.00 23.925 18.345 18.191 18.308 18.098 17.920 17.888 17.901 17.781 17.250  0.012 
 1   9.27  0.29  0.01809 -4.911 3.001  4.555  8.80  0.039 0.00 25.846 19.846 19.798 19.749 19.442 19.220 19.154 19.159 18.966 18.314  0.018 
 1   9.29 -0.23  1.30961  0.651 3.839  4.205 10.80  0.040 0.00 13.943 13.031 13.028 13.025 13.025 13.027 13.025 13.022 13.020 13.021  1.310 
 1   9.29 -0.19  0.14023 -2.645 3.498  5.169  9.10  0.040 0.71 20.140 16.955 16.931 16.772 16.771 16.730 16.702 16.648 16.656 16.304  0.140 
 1   9.29 -0.11  0.06990 -3.998 3.279  5.341 10.10  0.040 0.00 24.865 20.419 20.251 20.017 19.931 19.936 19.853 19.779 19.777 19.242  0.070 
 1   9.29 -0.05  0.18179 -2.353 3.527  5.106  6.90  0.033 0.77 17.117 14.067 14.059 13.937 13.939 13.907 13.891 13.825 13.815 13.305  0.182 
 1   9.31 -0.19  0.02678 -5.120 2.973  4.823  8.70  0.039 0.00 26.269 20.227 20.210 20.102 19.756 19.498 19.423 19.453 19.288 18.766  0.027 
 1   9.31 -0.05  0.02897 -5.113 2.979  4.873 10.60  0.040 0.00 28.153 22.131 22.110 22.000 21.658 21.407 21.335 21.362 21.180 20.602  0.029 
 1   9.33 -0.13  0.06955 -4.036 3.270  5.343 10.30  0.040 0.00 25.160 20.637 20.468 20.247 20.155 20.155 20.074 20.006 19.997 19.459  0.070 
 1   9.33 -0.07  0.80243 -0.551 3.695  4.617  9.80  0.040 0.86 15.514 13.456 13.413 13.407 13.403 13.404 13.401 13.395 13.392 13.390  0.802 
 1   9.33  0.09  0.11017 -2.939 3.461  5.211  9.80  0.040 0.00 21.918 18.635 18.608 18.405 18.399 18.364 18.350 18.254 18.293 17.778  0.110 
 1   9.33  0.17  0.13994 -2.688 3.483  5.148  8.90  0.039 0.00 20.391 17.193 17.175 17.009 17.006 16.974 16.961 16.874 16.890 16.353  0.140 
 1   9.35 -0.31  0.03091 -5.079 2.990  4.913  9.00  0.039 0.00 26.468 20.480 20.452 20.344 20.012 19.773 19.706 19.729 19.535 18.908  0.031 
 1   9.35 -0.25  0.16548 -2.440 3.523  5.135  9.60  0.040 0.00 20.469 17.446 17.435 17.333 17.339 17.302 17.276 17.238 17.223 16.916  0.165 
 1   9.35 -0.01  0.05678 -4.559 3.143  5.270  9.10  0.040 0.00 25.267 19.881 19.725 19.779 19.570 19.393 19.370 19.409 19.329 18.930  0.057 
 1   9.35 -0.01  0.02247 -4.982 2.986  4.583 11.20  0.040 0.83 27.844 21.788 21.765 21.685 21.349 21.092 21.016 21.046 20.912 20.469  0.019 
 1   9.35  0.13  0.11078 -2.938 3.460  5.207  9.60  0.040 0.00 21.715 18.427 18.399 18.194 18.187 18.153 18.138 18.042 18.082 17.568  0.111 
 1   9.35  0.19  0.02239 -5.133 2.961  4.711  9.90  0.040 0.00 27.502 21.418 21.408 21.308 20.953 20.680 20.597 20.637 20.519 20.146  0.022 
 1   9.35  0.21  0.01079 -4.709 3.023  4.217  8.50  0.039 0.00 25.041 19.083 18.976 19.038 18.768 18.554 18.484 18.503 18.429 18.148  0.011 
 1   9.35  0.29  0.14619 -2.637 3.486  5.132  7.80  0.037 0.92 18.528 15.329 15.311 15.144 15.141 15.109 15.096 15.009 15.025 14.488  0.146 
 1   9.35  0.29  0.41261 -1.610 3.572  4.898 10.10  0.040 0.00 18.894 16.124 16.126 16.053 16.046 16.025 16.007 15.968 15.941 15.652  0.413 
 1   9.37 -0.19  0.04111 -4.770 3.077  5.075 12.90  0.040 0.00 29.596 23.901 23.797 23.811 23.564 23.354 23.309 23.360 23.333 23.206  0.041 
 1   9.37 -0.09  0.02910 -5.113 2.979  4.877  9.70  0.040 0.00 27.252 21.232 21.210 21.100 20.758 20.508 20.436 20.462 20.279 19.699  0.029 
 1   9.37 -0.05  0.68260 -0.890 3.648  4.699 10.50  0.040 0.83 17.058 14.710 14.680 14.656 14.648 14.644 14.637 14.625 14.618 14.613  0.683 
 1   9.37  0.03  0.56650 -1.214 3.611  4.795  8.60  0.039 0.00 16.405 13.901 13.890 13.846 13.833 13.826 13.811 13.793 13.781 13.773  0.567 
 1   9.37  0.15  0.24826 -2.070 3.543  5.021 13.10  0.040 0.00 23.045 20.124 20.123 20.035 20.042 20.012 20.001 19.941 19.913 19.331  0.248 
 1   9.37  0.19  1.09030  0.085 3.765  4.396  7.00  0.034 0.00 11.557 10.105 10.083 10.080 10.080 10.081 10.081 10.078 10.076 10.077  1.090 
 1   9.37  0.19  0.07889 -3.568 3.366  5.312  9.60  0.040 0.97 22.689 18.860 18.733 18.448 18.387 18.388 18.316 18.213 18.270 17.774  0.079 
 1   9.39 -0.27  0.53594 -1.226 3.620  4.819  9.00  0.039 0.00 16.834 14.380 14.365 14.326 14.316 14.311 14.300 14.285 14.276 14.270  0.536 
 1   9.39 -0.05  0.18820 -2.307 3.533  5.097  8.40  0.039 0.00 18.938 15.969 15.965 15.866 15.872 15.841 15.826 15.767 15.746 15.224  0.188 
 1   9.41 -0.35  0.15260 -2.520 3.516  5.151  9.00  0.039 0.00 20.069 17.008 16.993 16.886 16.892 16.852 16.819 16.792 16.779 16.578  0.153 
 1   9.41 -0.21  0.16866 -2.422 3.524  5.129  7.50  0.036 0.00 18.325 15.308 15.299 15.196 15.201 15.166 15.142 15.099 15.083 14.735  0.169 
 1   9.41 -0.17  0.32778 -1.795 3.575  4.995  9.30  0.040 0.00 18.557 15.834 15.837 15.764 15.755 15.735 15.714 15.681 15.659 15.485  0.328 
 1   9.41 -0.11  0.01259 -4.339 3.109  4.258 10.30  0.040 0.00 25.918 20.304 20.147 20.276 20.063 19.880 19.846 19.863 19.757 19.290  0.013 
 1   9.41 -0.03  0.11465 -2.888 3.470  5.213  9.60  0.040 0.00 21.589 18.342 18.319 18.131 18.128 18.092 18.076 17.989 18.017 17.522  0.115 
 1   9.41  0.01  0.37604 -1.687 3.573  4.938 10.20  0.040 0.00 19.187 16.438 16.440 16.366 16.359 16.338 16.320 16.280 16.254 15.974  0.376 
 1   9.43 -0.11  0.08303 -3.477 3.388  5.331  8.90  0.039 0.00 22.363 18.754 18.658 18.364 18.322 18.309 18.255 18.146 18.222 17.738  0.083 
 1   9.43 -0.07  0.09859 -3.093 3.448  5.262  6.10  0.028 0.00 18.602 15.266 15.229 15.003 14.993 14.955 14.932 14.843 14.892 14.448  0.099 
 1   9.43 -0.07  0.23366 -2.094 3.552  5.054 10.70  0.040 0.00 20.705 17.825 17.822 17.744 17.752 17.723 17.709 17.659 17.632 17.143  0.234 
 1   9.43  0.01  0.22017 -2.156 3.544  5.059  7.90  0.038 0.00 18.059 15.143 15.142 15.054 15.062 15.032 15.021 14.962 14.935 14.354  0.220 
 1   9.43  0.03  0.16143 -2.504 3.506  5.122  7.70  0.037 0.00 18.731 15.640 15.630 15.498 15.498 15.467 15.454 15.379 15.374 14.817  0.161 
 1   9.43  0.03  0.44998 -1.506 3.585  4.883  9.50  0.040 0.99 17.301 14.625 14.627 14.559 14.548 14.531 14.513 14.480 14.459 14.299  0.450 
 1   9.43  0.05  0.29471 -1.911 3.557  4.994  7.10  0.034 0.00 16.648 13.805 13.805 13.728 13.732 13.705 13.692 13.641 13.611 13.123  0.295 
 1   9.43  0.17  0.28736 -1.951 3.550  4.994  8.60  0.039 0.96 17.535 14.641 14.640 14.558 14.567 14.537 14.527 14.470 14.439 13.854  0.287 
 1   9.43  0.21  0.27496 -1.993 3.546  5.001  6.30  0.030 0.00 16.054 13.146 13.145 13.061 13.069 13.039 13.028 12.970 12.940 12.356  0.275 
 1   9.43  0.31  0.15567 -2.564 3.494  5.118  9.50  0.040 0.00 20.681 17.534 17.520 17.372 17.370 17.339 17.326 17.246 17.249 16.700  0.156 
 1   9.45 -0.31  0.04649 -4.838 3.068  5.163 10.50  0.040 0.00 27.366 21.642 21.554 21.537 21.282 21.075 21.029 21.072 21.007 20.752  0.046 
