#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   F070W  F090W  F115W  F150W  F200W  F277W  F356W  F444W  F150W2 F322W2 F140M  F162M  F182M  F210M  F250M  F300M  F335M  F360M  F410M  F430M  F460M  F480M    Mact
 1   8.33 -0.07  0.15267 -2.350 3.509  4.953  6.90  0.033 0.00 17.544 17.944 16.572 15.844 15.334 15.031 14.951 14.549 14.442 15.381 14.753 15.500 15.081 15.099 14.947 14.989 14.918 14.649 14.484 14.386 14.414 14.508 14.489  0.153 
 1   8.41 -0.09  0.20614 -2.199 3.546  5.083  8.40  0.039 0.00 18.668 18.776 17.683 17.054 16.503 16.186 16.136 15.832 15.754 16.566 15.990 16.646 16.289 16.236 16.125 16.179 16.110 15.905 15.782 15.702 15.724 15.813 15.798  0.206 
 1   8.45  0.05  2.30554  1.525 3.977  4.128  9.10  0.040 0.00 10.057 10.183 10.181 10.174 10.167 10.166 10.164 10.165 10.165 10.168 10.164 10.167 10.166 10.168 10.165 10.164 10.164 10.165 10.165 10.164 10.164 10.166 10.165  2.306 
 1   8.47 -0.07  0.12512 -2.534 3.492  4.984  8.40  0.039 0.00 19.505 20.061 18.552 17.772 17.278 16.972 16.882 16.432 16.321 17.314 16.658 17.461 17.002 17.051 16.875 16.919 16.842 16.542 16.361 16.261 16.293 16.393 16.371  0.125 
 1   8.55  0.09  0.05789 -3.563 3.341  5.072  8.10  0.038 0.00 21.778 24.654 21.501 19.931 19.493 19.070 18.880 17.950 17.842 19.411 18.368 20.103 18.843 19.338 18.787 18.983 18.731 18.160 17.829 17.734 17.862 17.966 17.919  0.058 
 1   8.59 -0.15  0.14176 -2.454 3.504  5.006  6.30  0.030 0.80 16.659 17.140 15.700 14.941 14.433 14.130 14.041 13.608 13.499 14.476 13.826 14.611 14.166 14.205 14.036 14.080 14.000 13.714 13.539 13.441 13.473 13.570 13.546  0.142 
 1   8.67 -0.17  0.05303 -3.904 3.276  5.117  8.70  0.039 0.00 23.231 26.938 23.783 21.797 20.963 20.296 19.856 18.968 18.826 20.861 19.371 21.648 20.270 20.605 20.001 20.004 19.680 19.160 18.858 18.751 18.851 18.910 18.856  0.053 
 1   8.67 -0.13  0.14870 -2.431 3.507  5.015  7.80  0.037 0.87 18.053 18.506 17.092 16.344 15.833 15.530 15.443 15.022 14.913 15.878 15.234 16.007 15.571 15.603 15.439 15.482 15.404 15.125 14.954 14.857 14.887 14.983 14.960  0.149 
 1   8.71  0.33  0.22679 -2.160 3.536  5.043  9.10  0.040 0.00 19.269 19.475 18.280 17.622 17.087 16.777 16.729 16.390 16.302 17.145 16.565 17.235 16.861 16.831 16.710 16.767 16.703 16.473 16.334 16.247 16.272 16.364 16.352  0.227 
 1   8.75 -0.31  0.22231 -2.101 3.563  5.084  8.70  0.039 0.00 18.723 18.674 17.739 17.150 16.595 16.295 16.258 15.979 15.899 16.667 16.125 16.742 16.381 16.340 16.239 16.295 16.236 16.052 15.928 15.852 15.877 15.955 15.938  0.222 
 1   8.79 -0.11  0.71876 -0.790 3.663  4.684  7.70  0.037 0.00 14.446 14.049 13.565 13.132 12.532 12.281 12.262 12.223 12.263 12.647 12.245 12.679 12.341 12.288 12.269 12.299 12.244 12.228 12.219 12.213 12.242 12.331 12.310  0.719 
 1   8.81  0.09  1.04678 -0.048 3.757  4.479  8.30  0.039 0.00 13.191 12.711 12.420 12.157 11.788 11.665 11.645 11.636 11.656 11.883 11.641 11.864 11.690 11.670 11.658 11.660 11.638 11.637 11.636 11.634 11.646 11.683 11.677  1.047 
 1   8.87 -0.09  1.47428  0.757 3.861  4.240  6.10  0.028 0.00  8.977  8.673  8.547  8.423  8.255  8.216  8.204  8.204  8.201  8.308  8.204  8.282  8.222  8.221  8.211  8.205  8.205  8.204  8.203  8.201  8.201  8.200  8.201  1.474 
 1   8.93  0.49  0.05789 -4.137 3.236  5.227 10.00  0.040 0.00 25.112 29.557 26.482 24.310 22.980 22.007 21.426 20.530 20.370 22.779 20.936 23.626 22.317 22.350 21.707 21.593 21.232 20.703 20.427 20.307 20.383 20.445 20.384  0.058 
 1   8.95 -0.01  1.14709  0.196 3.787  4.394  8.70  0.039 0.88 12.525 12.073 11.809 11.573 11.235 11.129 11.108 11.103 11.115 11.326 11.106 11.303 11.148 11.133 11.122 11.118 11.105 11.104 11.103 11.101 11.108 11.131 11.127  1.147 
 1   8.95  0.09  0.06609 -3.930 3.288  5.284  8.50  0.039 0.77 22.751 26.755 23.595 21.620 20.686 19.852 19.269 18.315 18.157 20.516 18.741 21.351 20.015 20.195 19.544 19.442 19.061 18.499 18.207 18.083 18.171 18.244 18.178  0.066 
 1   8.97 -0.19  0.20794 -2.175 3.553  5.087  5.40  0.023 0.94 14.925 14.973 13.936 13.320 12.767 12.452 12.397 12.107 12.029 12.832 12.258 12.909 12.556 12.500 12.392 12.440 12.370 12.177 12.057 11.980 12.002 12.086 12.068  0.208 
 1   8.97  0.27  0.05186 -4.371 3.179  5.187  7.90  0.038 0.82 23.132 30.270 26.935 24.407 22.122 20.307 19.279 18.131 17.885 21.380 18.618 22.767 21.456 20.827 19.936 19.531 18.980 18.370 18.015 17.814 17.922 17.966 17.890  0.052 
 1   9.01  0.27  0.04463 -4.638 3.111  5.115  5.50  0.024 0.73 21.487 31.455 27.376 24.280 21.470 19.107 17.715 16.391 15.911 20.253 16.921 22.239 20.727 19.792 18.667 18.102 17.299 16.831 16.264 15.857 16.006 15.971 15.871  0.045 
 1   9.03  0.21  0.09887 -3.104 3.438  5.237  8.60  0.039 0.00 21.130 22.357 20.271 19.267 18.830 18.530 18.485 17.799 17.701 18.835 18.126 19.115 18.442 18.661 18.370 18.522 18.412 17.949 17.700 17.604 17.677 17.818 17.782  0.099 
 1   9.05  0.13  0.07493 -3.704 3.339  5.319  8.60  0.039 0.85 22.263 25.442 22.306 20.623 19.974 19.438 19.101 18.192 18.069 19.899 18.603 20.593 19.332 19.717 19.153 19.233 18.931 18.377 18.080 17.979 18.083 18.174 18.118  0.075 
 1   9.05  0.31  0.24445 -2.094 3.540  5.025  7.90  0.038 0.00 17.905 18.084 16.915 16.265 15.726 15.413 15.369 15.040 14.956 15.785 15.210 15.873 15.504 15.466 15.348 15.409 15.343 15.119 14.986 14.901 14.925 15.017 15.006  0.244 
